round,difficulty,mining_time
0,1.0,0
1,1.0,0
2,1.0,25464445
3,1.0,34463517
4,1.0,9748457
5,1.0,15354448
6,1.0,64253590
7,1.0,20644382
8,1.0,19169558
9,1.0,7888403
10,1.0,28273045
11,1.0,26395381
12,1.0,9667041
13,1.0,22704734
14,1.0,22641195
15,1.0,21451995
16,1.0,34905038
17,1.0,11394473
18,1.0,24556680
19,1.0,30607538
20,1.0,15399858
21,1.0,11201440
22,1.0,34193056
23,1.0,14793158
24,1.0,48879661
25,1.0,21421004
26,1.0,34600039
27,1.0,38498676
28,1.0,19134798
29,1.0,8667952
30,1.0,22603387
31,1.0,8172072
32,1.0,16123888
33,1.0,61484569
34,1.0,9615094
35,1.0,51206676
36,1.0,9724658
37,1.0,14800105
38,1.0,42480469
39,1.0,10165954
40,1.0,18687188
41,1.0,22213110
42,1.0,21242459
43,1.0,29131493
44,1.0,8603196
45,1.0,9165161
46,1.0,15100453
47,1.0,14606267
48,1.0,27800283
49,1.0,24815228
50,1.0,9331572
51,1.0,10438601
52,1.0,35081996
53,1.0,27204328
54,1.0,8403369
55,1.0,19092504
56,1.0,18942549
57,1.0,17037524
58,1.0,17951897
59,1.0,12836363
60,1.0,11411554
61,1.0,14025242
62,1.0,9284485
63,1.0,34749125
64,1.0,15821079
65,1.0,9755718
66,1.0,9032390
67,1.0,33361211
68,1.0,19508318
69,1.0,49531941
70,1.0,20937823
71,1.0,63789769
72,1.0,29949621
73,1.0,13405567
74,1.0,12931982
75,1.0,7713123
76,1.0,40953792
77,1.0,36411724
78,1.0,25663630
79,1.0,32301125
80,1.0,10249772
81,1.0,13234026
82,1.0,10616854
83,1.0,17326704
84,1.0,69707410
85,1.0,36016855
86,1.0,14746436
87,1.0,36160773
88,1.0,8421698
89,1.0,9079358
90,1.0,12951301
91,1.0,29481400
92,1.0,29069794
93,1.0,9287600
94,1.0,38894660
95,1.0,11531458
96,1.0,15046082
97,1.0,18478343
98,1.0,22262018
99,1.0,17175146
100,1.0,50983615
101,1.0,8165752
102,1.0,8570269
103,1.0,9510075
104,1.0,8231486
105,1.0,29139033
106,1.0,41638044
107,1.0,10329055
108,1.0,43147128
109,1.0,17498784
110,1.0,22006861
111,1.0,12308723
112,1.0,13022253
113,1.0,31593989
114,1.0,24100168
115,1.0,17290572
116,1.0,23194703
117,1.0,53343916
118,1.0,13204591
119,1.0,55120617
120,1.0,24440920
121,1.0,8194461
122,1.0,28698532
123,1.0,31228960
124,1.0,26279307
125,1.0,26986121
126,1.0,8869351
127,1.0,7629821
128,1.0,7092628
129,1.0,32238529
130,1.0,15073109
131,1.0,14569115
132,1.0,24415396
133,1.0,8600423
134,1.0,22471288
135,1.0,22106499
136,1.0,29425970
137,1.0,37413766
138,1.0,41889288
139,1.0,13137847
140,1.0,12472366
141,1.0,14982821
142,1.0,21781958
143,1.0,8466165
144,1.0,14239397
145,1.0,49252499
146,1.0,18709892
147,1.0,35216724
148,1.0,12283441
149,1.0,15480960
150,1.0,13732631
151,1.0,10373912
152,1.0,14059125
153,1.0,26957342
154,1.0,28663865
155,1.0,46344882
156,1.0,27664561
157,1.0,16244765
158,1.0,27637951
159,1.0,13138953
160,1.0,10006892
161,1.0,12077861
162,1.0,19937539
163,1.0,13115982
164,1.0,36661891
165,1.0,10811207
166,1.0,14898231
167,1.0,14540836
168,1.0,13322800
169,1.0,25965013
170,1.0,28157657
171,1.0,72584710
172,1.0,18428463
173,1.0,50397649
174,1.0,9004496
175,1.0,30571298
176,1.0,11718208
177,1.0,11957139
178,1.0,8361736
179,1.0,9215638
180,1.0,12699731
181,1.0,23313336
182,1.0,9743169
183,1.0,10363816
184,1.0,16800440
185,1.0,13765576
186,1.0,38429346
187,1.0,26588117
188,1.0,26004865
189,1.0,7615404
190,1.0,17237722
191,1.0,21121627
192,1.0,8972091
193,1.0,17780358
194,1.0,7905383
195,1.0,10545940
196,1.0,10731915
197,1.0,12476830
198,1.0,20027657
199,1.0,26922324
200,1.0,10123004
201,1.0,13404028
202,1.0,14097081
203,1.0,26561864
204,1.0,8508095
205,1.0,22191233
206,1.0,27483897
207,1.0,14836170
208,1.0,7891662
209,1.0,34264415
210,1.0,17921936
211,1.0,36393241
212,1.0,50152784
213,1.0,11460615
214,1.0,25042222
215,1.0,21334183
216,1.0,23125279
217,1.0,8264748
218,1.0,9836282
219,1.0,19449999
220,1.0,17607544
221,1.0,13484980
222,1.0,31965263
223,1.0,9502217
224,1.0,11762820
225,1.0,22049031
226,1.0,11969936
227,1.0,27577881
228,1.0,36520214
229,1.0,48365608
230,1.0,18535696
231,1.0,50380267
232,1.0,44773536
233,1.0,11245599
234,1.0,19852937
235,1.0,48699055
236,1.0,12741241
237,1.0,34865635
238,1.0,7650583
239,1.0,11488491
240,1.0,11822947
241,1.0,20605225
242,1.0,19122087
243,1.0,16944948
244,1.0,24268533
245,1.0,16549499
246,1.0,29535731
247,1.0,9576232
248,1.0,18399540
249,1.0,50262723
250,1.0,23150401
251,1.0,17067453
252,1.0,7646455
253,1.0,8683971
254,1.0,10007974
255,1.0,8870940
256,1.0,16636146
257,1.0,26336808
258,1.0,52882741
259,1.0,30065128
260,1.0,15634524
261,1.0,56839540
262,1.0,23161781
263,1.0,12729600
264,1.0,47155909
265,1.0,10132179
266,1.0,19477155
267,1.0,18316405
268,1.0,29582273
269,1.0,47117445
270,1.0,3608074
271,1.0,11915298
272,1.0,9991942
273,1.0,13460641
274,1.0,50567467
275,1.0,12435295
276,1.0,33358165
277,1.0,20645959
278,1.0,56641423
279,1.0,16040808
280,1.0,16882893
281,1.0,9988858
282,1.0,9695998
283,1.0,7966761
284,1.0,45687137
285,1.0,27895761
286,1.0,12181425
287,1.0,19915962
288,1.0,8899572
289,1.0,30100946
290,1.0,31174366
291,1.0,42685154
292,1.0,67282827
293,1.0,10490223
294,1.0,29676731
295,1.0,11747881
296,1.0,39334639
297,1.0,7951650
298,1.0,14861903
299,1.0,35589944
300,1.0,38100084
301,1.0,14064619
302,1.0,50205574
303,1.0,30948852
304,1.0,166746
305,1.0,38913660
306,1.0,40610734
307,1.0,64003674
308,1.0,39797942
309,1.0,20008480
310,1.0,7657941
311,1.0,18134293
312,1.0,14134677
313,1.0,12819963
314,1.0,11229328
315,1.0,22134614
316,1.0,39002583
317,1.0,31358897
318,1.0,15950517
319,1.0,24406821
320,1.0,10121031
321,1.0,9320396
322,1.0,8655176
323,1.0,10833158
324,1.0,12508596
325,1.0,38657477
326,1.0,12954921
327,1.0,17877228
328,1.0,47831554
329,1.0,8737462
330,1.0,46760239
331,1.0,9610011
332,1.0,35373108
